crim crie	參差/㠁嵯
grap nnox jienh zrenn	甲午戰爭
grap hhenn gan riem	甲型肝炎
grap xin jiannh brienh	甲申政變
grap grip jienh ppiiomx	甲級戰犯
grap guwt miin cciih	甲骨文字
nwm ziix lam kkiiu	男子籃球
nwm siannh jiiox nnrieh	男性主義
nwm siannh briemx viik	男性貶抑
vuuih vuuih sriiuk sriiuk	畏畏縮縮
bit nniiop denx leix	畢業典禮
bit nniiop jiinnh xiiw	畢業證書
bit gniex bra nnak	畢爾巴鄂
liiak die vit gnih	略知一二
liiak ziak nnuuon cciann	略跡原情
iih hho ssim xxiiann	異乎尋常
iih kwux ttunn xiann	異口同聲
iih guwk ta hiiann	異國他鄉
iih siiannx ten kwi	異想天開
iih kiiok ttunn gunn	異曲同工
iih diio ttwm mra	異株蕁麻
iih nnrieh gnin ccriix	異議人士
iih nnrieh brin ziix	異議份子
iih guun ttuwt kiix	異軍突起
iih hiiann puk ppih	異香撲鼻
nnii miinh ttwih ssii	疑問代詞
nnii qqin nnii guuix	疑神疑鬼
riiu ppih ten nna	疣鼻天鵝
ccit ppriannh ttuwt biiot	疾病突發
ccit biiunn giannh caux	疾風勁草
ppriannh guwk viiann min	病國殃民
ppriannh ttok hhrok gra	病毒學家
ppriannh ttok yann sieu	病毒營銷
ppriannh min hhaih guwk	病民害國
ppriannh min gox guwk	病民蠱國
ppriannh liix hhrok gra	病理學家
ppriannh ppriannh viiann viiann	病病殃殃
tunnh kruaih lim lie	痛快淋漓
tunnh siannh kkiannx lyen	痛性痙攣
tunnh gwix ccen biii	痛改前非
tunnh tunnh kruaih kruaih	痛痛快快
tii gnin tii biiuk	痴人痴福
tii sim miiannh siiannx	痴心妄想
criiann i manx miiuk	瘡痍滿目
sriiuh guwt lenn denn	瘦骨伶仃
sriiuh guwt lwnn lwnn	瘦骨棱棱
dwnn ttann gnip xit	登堂入室
dwnn iionn gnin ccwi	登庸人才
dwnn giii gnip kwux	登機入口
dwnn giii lann kkrieu	登機廊橋
dwnn giii xiiux ssiiok	登機手續
dwnn ttwi brieux ienx	登臺表演
dwnn liiuk nnuuot kkiiu	登陸月球
dwnn grek yak mrieu	登革疫苗
dwnn grek ppriannh ttok	登革病毒
biiot gret gret xiann	發嘎嘎聲
biiot biinh tto kkiiann	發奮圖強
biiot biinh riiux rye	發奮有為
biiot gunn zi gnit	發工資日
biiot ppiinx tto kkiiann	發憤圖強
biiot iiann ttauh lieih	發揚蹈厲
biiot xiann krih guan	發聲器官
biiot brieux ienx gronnx	發表演講
biiot ccwi dih biiuh	發財致富
biiot vrim krih guan	發音器官
pprak nna la sie	白俄羅斯
pprak hhwu sauh mri	白喉噪鶥
pprak hhwu lim vrenn	白喉林鶯
pprak hhwu ttok soh	白喉毒素
pprak hhwu sei deux	白喉犀鳥
pprak hhwu giii dunn	白喉磯鶇
pprak miiix ttih vra	白尾地鴉
pprak miiix hwix deu	白尾海鵰
pprak xiiux kiix gra	白手起家
pprak biak miii hhra	白璧微瑕
pprak biak miio hhra	白璧無瑕
pprak pprie srem xxyn	白皮杉醇
pprak mri ttih dunn	白眉地鶇
pprak mri sren ziiak	白眉山雀
pprak mri jiio ziiak	白眉朱雀
pprak mri ga dunn	白眉歌鶇
pprak mri qiak nnrenx	白眉赤眼
pprak mri ziiak mri	白眉雀鶥
pprak kuuann ziiak mri	白眶雀鶥
pprak kuuann vra ziiak	白眶鴉雀
pprak nnrenx kkuuann viinn	白眼鵟鷹
pprak xxiak lip ziix	白石砬子
pprak jiex hwk cciih	白紙黑字
pprak sienh bran miin	白線斑蚊
pprak xieh ppiiu vwu	白翅浮鷗
pprak xieh brak lenn	白翅百靈
pprak xieh lam ciiak	白翅藍鵲
pprak vieu miin deux	白腰文鳥
pprak vieu bin yt	白腰濱鷸
pprak vieu caux yt	白腰草鷸
pprak vieu syet ziiak	白腰雪雀
pprak biiuk viu mri	白腹幽鶥
pprak biiuk hwix deu	白腹海鵰
pprak biiuk grimx gei	白腹錦雞
pprak biiuk synx deu	白腹隼鵰
pprak biiuk ppiiunnh mri	白腹鳳鶥
pprak tuwix sieux synx	白腿小隼
pprak pprau vit drannh	白跑一趟
pprak grim hanh giiunn	白金漢宮
pprak grim hanh kkuunh	白金漢郡
pprak syet gunn jiiox	白雪公主
pprak syet nnwi nnwi	白雪皚皚
pprak ruun giii ttiiann	白雲機場
pprak mienh xiiw sriann	白面書生
pprak dennx hhuen vwu	白頂玄鷗
pprak hhronnx ppiiunnh mri	白項鳳鶥
pprak liannx bret ga	白領八哥
pprak liannx ppiiih cyh	白領翡翠
pprak liannx ppiiunnh mri	白領鳳鶥
pprak ttwu grei laux	白頭偕老
pprak ttwu dauh laux	白頭到老
pprak ttwu guek mri	白頭鶪鶥
pprak gep sauh mri	白頰噪鶥
pprak gep hwk nnranh	白頰黑雁
pprak hiiann ssii box	白香詞譜
pprak mrax syet sren	白馬雪山
pprak demx sauh mri	白點噪鶥
brak viii brak qqynh	百依百順
brak lih ttem ziiux	百利甜酒
brak zi cen twih	百姿千態
brak kunnx cen criiann	百孔千瘡
brak gra zrenn mriann	百家爭鳴
brak qiak gan ttwu	百尺竿頭
brak qyen guui hwix	百川歸海
brak biioih ttwix giiwx	百廢待舉
brak gwmx grau ccip	百感交集
brak gnit y sin	百日維新
brak syeih laux gnin	百歲老人
brak miio vit xit	百無一失
brak miio leu laih	百無聊賴
brak nnrenx kkiiwx gnin	百眼巨人
brak duan ttwix giiwx	百端待舉
brak hrua ruunh ttunnx	百花運動
brak miionh biiuh vunn	百萬富翁
brak huah gunn sii	百貨公司
brak huah xiiann demh	百貨商店
dek lei ba liix	的黎波里
hhuann gra hwix guun	皇家海軍
hhruanx hheih guun ppiiot	皖系軍閥
pprie brau gunn sii	皮包公司
pprie brau guwt ttwu	皮包骨頭
pprie ttwk lwp kwk	皮特拉克
pprie biio ccox cauh	皮膚粗糙
pprie kwi gniiuk ttrenh	皮開肉綻
iann krye ccih ppiiux	盈虧自負
viak dieh nnuanh kkiioh	益智玩具
ppan ni sei lim	盤尼西林
ppan gwn miinh deix	盤根問底
ppan gwn giiuh deix	盤根究底
ppan liionn nnuah hox	盤龍臥虎
miiuk diiunn miio gnin	目中無人
miiuk guann sriiwx kkrip	目光所及
miiuk guann duanx cienx	目光短淺
miiuk miio ccyen nniiu	目無全牛
miiuk miio biiop giix	目無法紀
miiuk kunn sih hwix	目空四海
miiuk mei nnox sriik	目迷五色
mrann gnin mwn kkiiu	盲人門球
ttiik lwi ttiik ruuannx	直來直往
ttiik geih guun ppiiot	直係軍閥
ttiik xiinn giii ppriann	直升機坪
ttiik xiinn biii giii	直升飛機
ttiik boh la tta	直布羅陀
ttiik ziep kkriannh zrenn	直接競爭
ttiik daux hhuann liionn	直搗黃龍
ttiik hhruanx jienh zrenn	直皖戰爭
ttiik nniion miio huuih	直言無諱
mri ciann miiuk siiuh	眉清目秀
mri biii sriik miiox	眉飛色舞
gryenh gryenh jii sim	眷眷之心
nnrenx ttunnx kkriex qqyt	眼動技術
nnrenx mriann xiiux kruaih	眼明手快
nnrenx pprie kuk jiionnx	眼皮哭腫
nnrenx hrat gniix lunn	眼瞎耳聾
nnrenx miin sauh mri	眼紋噪鶥
dok cret sieux zox	督察小組
miiuk lin jiannh crek	睦鄰政策
man sim mwih giix	瞞心昧己
trann miiuk iix duwih	瞠目以對
xynh siik jii grenh	瞬息之間
xynh siik miionh brienh	瞬息萬變
xynh biiot diiunn ziix	瞬發中子
miiu miin caux mri	矛紋草鶥
die gnin xxienx iionnh	知人善用
die miann gnin ccriix	知名人士
die giix die briex	知己知彼
die briex die giix	知彼知己
die cciann ttunn viih	知情同意
die biiop ppiiomx biiop	知法犯法
die nniioh jii vwn	知遇之恩
duanx miiix ccwk vwu	短尾賊鷗
duanx miiix vra ziiak	短尾鴉雀
duanx miiix zieu mri	短尾鷦鶥
duanx miiix vrenn miiox	短尾鸚鵡
duanx xxii ttiiw ccuwn	短時儲存
duanx kkii iiunn zi	短期融資
duanx tuwix liep kuenx	短腿獵犬
vrex giiak la sanx	矮腳羅傘
xxiak krih xxii ttwih	石器時代
xxiak gra zriiann xxiix	石家莊市
xxiak hha ziix xxiix	石河子市
xxiak kkiiw gak nnrieh	石渠閣議
xxiak pah ten griann	石破天驚
xxiak ttwu huax gua	石頭火鍋
nnenh giiuh gnin ruun	研究人員
nnenh giiuh sieux zox	研究小組
nnenh giiuh giii gwuh	研究機構
nnenh giiuh liannx ruuk	研究領域
pah diiuk jii xieih	破竹之勢
pah diiuk giionh lenn	破竹建瓴
pah damx hhan sim	破膽寒心
pah kkiiuh lip sin	破舊立新
pah ccwi mrienx zwi	破財免災
pah ppiiox ttim jiiu	破釜沉舟
pah mwn gnii gnip	破門而入
sieu suan gam iiu	硝酸甘油
suwih sim liet damx	碎心裂膽
suwih penh jiannx liix	碎片整理
briak caux gniiw vin	碧草如茵
xxiak ccriix hhrok ryh	碩士學位
xxiak guax kkrinh ccuwn	碩果僅存
nnwih xiiux nnwih giiak	礙手礙腳
xxiax grau mwi teix	社交媒體
xxiax grau miiannx dremh	社交網站
xxiax xiiwx xxiann hho	社鼠城狐
kkiii biiuk gniiann zwi	祈福禳災
zox zox bwih bwih	祖祖輩輩
qqin lau hhenn ccyh	神勞形瘁
qqin mieuh ccyenx mrix	神妙雋美
qqin gunn guuix biiox	神工鬼斧
qqin jiih huwn mei	神志昏迷
qqin xxiann rye gnin	神成為人
qqin giii mieuh suanx	神機妙算
qqin brih mak criik	神祕莫測
qqin jiik gnin ruun	神職人員
qqin jiiu ttenh naux	神舟電腦
qqin cwix iak iak	神采奕奕
qqin cwix biii iiann	神采飛揚
hhuax guwk viiann min	禍國殃民
hhuax biiuk git hiionn	禍福吉凶
hhuax biiuk miio xxiiann	禍福無常
biiuk lih jiannh crek	福利政策
biiuk ttrak iioh git	福澤諭吉
biiuk miio sronn jih	福無雙至
leix breih nnrie xiik	禮拜儀式
leix nnrieh liem tiix	禮義廉恥
siiuh sriik kax can	秀色可餐
siiuh sriik suwn tap	秀色孫鰈
siiuh biiot xxye gen	秀髮垂肩
si gnin iiak xxie	私人鑰匙
si moh gii grim	私募基金
si miiu ppanh guwk	私謀叛國
briannx gunn pprenh liix	秉公辦理
briannx brit ttiik xiiw	秉筆直書
ciiu hhau miio ppiiomx	秋毫無犯
ciiu xyx sien soh	秋水仙素
ciiu giiuk nnauh sriiann	秋菊傲霜
kua hhrok jip jiannh	科學執政
kua hhrok hhruenh siiannx	科學幻想
kua hhrok grueih gnin	科學怪人
kua hhrok pox kkrip	科學普及
kua hhruenh ttenh vriannx	科幻電影
kua kkriex griann siionnx	科技驚悚
kua pox ttwk gnin	科普特人
kua nwp kwk liix	科納克里
kua la vwn ppriannh	科羅恩病
kua la lwp da	科羅拉多
kua ttek lwk lwp	科迪勒拉
ccin xiix hhuann deih	秦始皇帝
ccin xiix hhuann liinn	秦始皇陵
ttit ssiiwx ziannx gnien	秩序井然
ie ttunnx xiet pprih	移動設備
ie ttunnx ttenh hhruaih	移動電話
ie cciann ppriet lyenh	移情別戀
ie hrua ziep muk	移花接木
ie sunnh biiop pprenh	移送法辦
hiii riiux nnuuon soh	稀有元素
hiii hiii lwp lwp	稀稀拉拉
hiii liix hho tto	稀裏糊塗
ttiann ssiiwx xiet geih	程序設計
ttiann mwn lip syet	程門立雪
srauh van miit zauh	稍安勿躁
srauh van miio zauh	稍安毋躁
ttaux tten ruuix vrenn	稻田葦鶯
miiuk bra lwp kwk	穆巴拉克
vuwnx gniiw taih sren	穩如泰山
vuwnx twih liix luwnh	穩態理論
kunn diiunn sieux ziax	空中小姐
kunn diiunn lwu gak	空中樓閣
kunn diiunn hrua ruuon	空中花園
kunn diiunn biii gnin	空中飛人
kunn sim la ppwk	空心蘿蔔
kunn xiiux gnii guui	空手而歸
kunn kiiih liiu tunn	空氣流通
kunn kiiih zriiwx liik	空氣阻力
kunn miio vit gnin	空無一人
ttuwt ni sie xxiix	突尼斯市
ttuwt ni sei vrah	突尼西亞
ttuwt gek ttuwih ruun	突擊隊員
ttuwt biii mrannx zinh	突飛猛進
kkiiunn briann ttuk miiox	窮兵黷武
kkiiunn xia kkiik qiex	窮奢極侈
kkiiunn xia kkiik iiok	窮奢極欲
kkiiunn gra ppak nniiop	窮家薄業
kkiiunn tto mat loh	窮途末路
kye brauh vit bran	窺豹一斑
lip kwk cih teix	立克次體
lip ttih xxiann ppiit	立地成佛
lip biiann gunn qiak	立方公尺
lip biiop giii gruan	立法機關
lip brak ppriannh ttok	立百病毒
lip teix jieuh penh	立體照片
lip teix iih gwuh	立體異構
dremh vuwnx giiak ppoh	站穩腳步
dremh vuwnx giiak gwn	站穩腳跟
jiiann biiox zenh lix	章甫薦履
ttunn swux miio kii	童叟無欺
ttunn nniion miio kkiih	童言無忌
kkriannh kkriex ttunnx miit	競技動物
kkriannh nniiop tteu kuanx	競業條款
kkriannh zrenn duwih xiiux	競爭對手
kkriannh zrenn mo xiik	競爭模式
diiuk xiiw giix nen	竹書紀年
diiuk mrax jii grau	竹馬之交
diiuk mrax jii riiux	竹馬之友
ppiio lyh biiuk vrim	符類福音
tteih vit guwk zieih	第一國際
tteih vit brax xiiux	第一把手
tteih vit xxii grenh	第一時間
tteih vit ssiiannx hhrenx	第一象限
tteih gnih gah gnin	第二個人
tteih gnih jiik nniiop	第二職業
dwnnx brienh vrap sienh	等變壓線
kuuann kep diiunn miit	筐篋中物
dwp biii sriiwx miinh	答非所問
guanx diiunn kye brauh	管中窺豹
guanx gra jiik miioh	管家職務
guanx xiiux guanx giiak	管手管腳
guanx liix ziep kwux	管理接口
guanx kye sriiwx kkrip	管窺所及
zet vwi qqynh brienh	節哀順變
zet zwuh kwux kkriex	節奏口技
zet liiu twp branx	節流踏板
diiuk xit ttaux miiu	築室道謀
gwu huax hho mriann	篝火狐鳴
bit loh lam liiox	篳路藍縷
grenx duanx greih xxieux	簡短介紹
grenx gnii nniion jii	簡而言之
grenx hhrei ruunh ttunnx	簡諧運動
meix lih bran dwk	米利班德
meix nwp gniex ttek	米納爾迪
biinx mwk dwnn ttiiann	粉墨登場
biinx hhunn liiann deux	粉紅椋鳥
biinx xin suwih guwt	粉身碎骨
lip ziix miit liix	粒子物理
niem pprie daih guwt	粘皮帶骨
ziann viak kkiiu ziann	精益求精
ziann qqin iak iak	精神奕奕
ziann qqin bwnn hhuwih	精神崩潰
ziann qqin manx biiuk	精神滿腹
ziann qqin ccriiannh twih	精神狀態
ziann qqin ccit ppriannh	精神疾病
ziann qqin lieuh biiop	精神療法
ziann qqin iiak miit	精神藥物
ziann qqin liannx ssiiuh	精神領袖
ziann qqin braux manx	精神飽滿
ziann gronnx da lenh	精講多練
hho hho tto tto	糊糊塗塗
hho liix hho tto	糊里糊塗
ttann coh liix ziak	糖醋里脊
zau liiuh hhuann nniiw	糟溜黃魚
hhunn nnox senn kkii	紅五星旗
hhunn gruax ppiiux deux	紅寡婦鳥
hhunn mwi hrua ziiak	紅梅花雀
hhunn kkiik vit xxii	紅極一時
hhunn guanh muk ttra	紅灌木茶
hhunn nniiu pprie cwih	紅牛皮菜
hhunn mri jiio ziiak	紅眉朱雀
hhunn mri ssiionn ziiak	紅眉松雀
hhunn xieh liiok giiu	紅翅綠鳩
hhunn xieh swux mri	紅翅藪鶥
hhunn xieh guek mri	紅翅鶪鶥
hhunn vieu jiio ziiak	紅腰朱雀
hhunn giiak gen deux	紅腳鰹鳥
hhunn biiuk sren ziiak	紅腹山雀
hhunn biiuk bin yt	紅腹濱鷸
hhunn biiuk huwi ziiak	紅腹灰雀
hhunn biiuk grimx gei	紅腹錦雞
hhunn tuwix sieux synx	紅腿小隼
hhunn ttwuh srem xxyn	紅豆杉醇
hhunn tieu kkiiwx senn	紅超巨星
hhunn dennx liiok giiu	紅頂綠鳩
hhunn ttwu sauh mri	紅頭噪鶥
hhunn ttwu miin kkrienx	紅頭文件
hhunn ttwu huwi ziiak	紅頭灰雀
hhunn ttwu ssyh mri	紅頭穗鶥
hhunn ttwu vra ziiak	紅頭鴉雀
hhunn nnrak ssyh mri	紅額穗鶥
hhunn nnran die giix	紅顏知己
hhunn nnran hhuax xyx	紅顏禍水
hhunn nnran ppak mriannh	紅顏薄命
miin hhwu ppiiunnh mri	紋喉鳳鶥
nwp xxip y gniex	納什維爾
nwp tap nwix gniix	納塔乃耳
nwp dwk va liix	納德阿里
nwp meix kkriex qqyt	納米技術
nwp syh jiiox nnrieh	納粹主義
nwp syh brin ziix	納粹份子
nwp syh dwk guwk	納粹德國
nwp lan siannh dwk	納蘭性德
sra boh kwux drauh	紗布口罩
jiex gnin jiex mrax	紙人紙馬
jiex zyh grim mei	紙醉金迷
piin piin iiann iiann	紛紛揚揚
piin jih ttwp lwi	紛至沓來
soh nnuuon ciiok zinh	素原促進
ziex la lan sriik	紫羅蘭色
ziex xieh liiann deux	紫翅椋鳥
ziex jii mri riiox	紫芝眉宇
seih hruah guanx liix	細化管理
seih cciiak mranh venh	細嚼慢嚥
seih miii mat zet	細微末節
seih jie mat zet	細枝末節
seih pprie nuwnh gniiuk	細皮嫩肉
seih miin sauh mri	細紋噪鶥
seih miin ruuix vrenn	細紋葦鶯
seih seih primx miiih	細細品味
seih seih ttih liiu	細細地流
seih kuax lip miit	細顆粒物
xxieux mak git jiiu	紹莫吉州
jiiunn nwm cciep gennh	終南捷徑
jiiunn ttiiann la xiann	終場鑼聲
jiiunn ten jii hhwnh	終天之恨
jiiunn xxiann prau vriannx	終成泡影
jiiunn demx ttih jiix	終點地址
get gwuh jiiox nnrieh	結構主義
get gwuh ccriiwh ssii	結構助詞
get kkiiu gam lam	結球甘藍
get xxiax ccih iiu	結社自由
get get bra bra	結結巴巴
get caux hhram hhruan	結草銜環
get dannx yann si	結黨營私
ccyet ttwih gre gnin	絕代佳人
ccyet mrit miin kkrienx	絕密文件
ccyet duwih ttih jiix	絕對地址
ccyet duwih lien ssiiok	絕對連續
ccyet miio kkrinh riiux	絕無僅有
tonnh vit kwux gennh	統一口徑
tonnh vit jienh sienh	統一戰線
tonnh vit sin la	統一新羅
tonnh vit zi nnuuon	統一資源
tonnh geih get guax	統計結果
tonnh gwuh preh gwuh	統購派購
tonnh gwuh tonnh sieu	統購統銷
sy piin hha xxiix	綏芬河市
sy cciannx jiiox nnrieh	綏靖主義
zonnh xxiiannh sriiwx qqyt	綜上所述
zonnh nnieih zet miiuk	綜藝節目
liiok cwmx hhunn ccriiu	綠慘紅愁
liiok lim hhau krak	綠林豪客
liiok xieh grim giiu	綠翅金鳩
liiok hrua ia cwih	綠花椰菜
y git ni vrah	維吉尼亞
y gii ssii denx	維基詞典
y da lih vrah	維多利亞
y ttii nnuuon panh	維持原判
y sin brienh biiop	維新變法
y kkryen gnin ccriix	維權人士
y gniex niiux sie	維爾紐斯
miiannx guanx ziep kwux	網管接口
miiannx guanx hheih tonnh	網管系統
miiannx lak hhep nnrieh	網絡協議
miiannx lak viinnh iionnh	網絡應用
miiannx lak kkriex qqyt	網絡技術
miiannx lak gnit giih	網絡日記
miiannx lak kii zrah	網絡欺詐
miiannx lak xyx guun	網絡水軍
miiannx lak ttwk gunn	網絡特工
miiannx lak hhruan griannx	網絡環境
miiannx lak ttiik gennh	網絡直徑
miiannx lak guanx liix	網絡管理
miiannx lak hhunn gnin	網絡紅人
miiannx lak xiet pprih	網絡設備
miiannx lak xiet geih	網絡設計
miiannx lak cien ie	網絡遷移
miiannx lak tet loh	網絡鐵路
miiannx loh viinnh iionnh	網路應用
miiannx loh ppiiuk miioh	網路服務
miiannx loh grah gwuh	網路架構
miiannx loh ttwk miioh	網路特務
miiannx loh hhruan griannx	網路環境
miiannx loh zet demx	網路節點
miiannx kwi vit mienh	網開一面
miiannx kwi sam mienh	網開三面
miiannx zieih miiannx lak	網際網絡
miiannx zieih miiannx loh	網際網路
miiannx zieih sriik cciann	網際色情
qiiak qiiak riiux iiw	綽綽有餘
ginx grip nnrye hhaih	緊急危害
ginx grip viinnh brienh	緊急應變
ginx grip ccriiannh twih	緊急狀態
ginx grip vii lieuh	緊急醫療
sienh siannh hhuwi guui	線性回歸
sienh siannh biiann ttiann	線性方程
sienh siannh suanx ziix	線性算子
sienh siannh hheih tonnh	線性系統
sienh siannh gye hhruek	線性規劃
yen muk kkiiu nniiw	緣木求魚
hhuanx briann jii geih	緩兵之計
hhuanx kkii biioh kuanx	緩期付款
sriiuk sieux mo hhenn	縮小模型
sriiuk xxiann vit ttuan	縮成一團
sriiuk xiiux sriiuk giiak	縮手縮腳
qqiinn jii iix biiop	繩之以法
hhuaih xiann hhuaih sriik	繪聲繪色
geih ruuannx kwi lwi	繼往開來
ssiiok sei iiu giih	續西遊記
diih jii six ttih	置之死地
diih hhuanh ttuwt brienh	置換突變
la vuui nwp kuenx	羅威納犬
la nwp gniex da	羅納爾多
la liiox giix ccuwn	羅縷紀存
la mrax cciih mwux	羅馬字母
la mrax ni vrah	羅馬尼亞
la mrax deih guwk	羅馬帝國
iiann gnip hox kwux	羊入虎口
iiann sauh iiannx ppriannh	羊瘙癢病
iiann ji pprak nniiok	羊脂白玉
iiann ttiiann sieux gennh	羊腸小徑
iiann ttiiann sieux ttaux	羊腸小道
iiann ttwu gwux gniiuk	羊頭狗肉
kiiann miio goh qqit	羌無故實
mrix gnin pwi ziix	美人坯子
mrix lih no iiann	美利奴羊
mrix miiih kax kwux	美味可口
mrix guwk jii vrim	美國之音
mrix guwk gnin min	美國人民
mrix guwk guwk huui	美國國徽
mrix guwk guun gnin	美國軍人
mrix guwk ruunh tunn	美國運通
mrix riiox hhann kkiiok	美宇航局
mrix iionn xiiux qqyt	美容手術
mrix ni gniex ppriannh	美尼爾病
mrix dunn xxii grenh	美東時間
mrix lim ccip ttuan	美林集團
mrix lak siak kann	美洛昔康
mrix jiiu nnuwt viinn	美洲兀鷹
mrix xiann qiiannh biiop	美聲唱法
mrix lyn mrix huanh	美輪美奐
nnrieh get grim lan	義結金蘭
nnrieh ppak ruun ten	義薄雲天
grann lei hhwm kiiux	羹藜含糗
vunn nniiu ttwk kkii	翁牛特旗
xieh ppann nnrennh leux	翅膀硬了
ssip iix xxiann ssiiok	習以成俗
ssip iix xxiann siannh	習以成性
ssip iix rye xxiiann	習以為常
ssip ssiiok ie siannh	習俗移性
ssip gruanh iionnh biiop	習慣用法
ssip gruanh ccih gnien	習慣自然
pien gnien gnii jih	翩然而至
pien pien kiix miiox	翩翩起舞
kkieu ppih mra vrap	翹鼻麻鴨
piion laux hhuann lek	翻老皇曆
ieuh miiox iiann vuui	耀武揚威
laux liiannx kwux gnie	老兩口兒
laux gan kkiiwx hhruet	老奸巨猾
laux qqit bra grau	老實巴交
laux sieux laux sieux	老小老小
laux nen tii nnwi	老年痴獃
laux twih liionn jiionn	老態龍鍾
laux ccan iiu giih	老殘遊記
laux hha kwux xxiix	老河口市
laux nniiu qqiex ttuk	老牛舐犢
laux nnrenx huwn hrua	老眼昏花
laux viinn senn ruun	老鷹星雲
laux xiiwx miiix bra	老鼠尾巴
kaux gox hhrok gra	考古學家
kaux miin xxye xxiix	考文垂市
kaux ba xxip baux	考波什堡
mauh ttet jii nen	耄耋之年
gnii lip jii nen	而立之年
nwih gnin ssim miiih	耐人尋味
nwih sim bann ccriiwh	耐心幫助
gniix gwn ziix gnyenx	耳根子軟
gniix gwn ciann cciannh	耳根清淨
gniix miiuk vit sin	耳目一新
ia lih meix xiiw	耶利米書
ia ga ni nnrax	耶哥尼雅
ia so gii dok	耶穌基督
leu iix ccih vuuih	聊以自慰
leu brieux cuwnh sim	聊表寸心
leu zrei jiih iih	聊齋志異
xiannh ppiit mriann zet	聖佛明節
xiannh kwk lox sie	聖克魯斯
xiannh kwix srit lim	聖凱瑟琳
xiannh ttih vrah ga	聖地亞哥
xiannh ttih nnra ga	聖地牙哥
xiannh da mriann gak	聖多明各
xiannh da mriann ga	聖多明哥
xiannh van dwk lox	聖安德魯
xiannh briex dwk baux	聖彼得堡
xiannh dwk taih ziix	聖德太子
xiannh lo sei vrah	聖盧西亞
xiannh ttanx ccen ssiak	聖誕前夕
xiannh ttanx laux gnin	聖誕老人
xiannh loh sei vrah	聖露西亞
xiannh mrax lih nak	聖馬利諾
xiannh mrax liik nak	聖馬力諾
xiann cciann ppennx mwuh	聲情並茂
xiann dunn gek sei	聲東擊西
xiann sriik ttiiann sriiwx	聲色場所
xiann lyh hheih tonnh	聲類系統
niep mwuh ccau vre	聶姆曹娃
ih nniiop jiinnh xiiw	肄業證書
siiuk gnien kiix griannh	肅然起敬
sih viih miiannh rye	肆意妄為
sih miio kkiih ttanh	肆無忌憚
gniiuk xxye mrek gei	肉垂麥雞
gniiuk nnrenx ppiiom twi	肉眼凡胎
gan naux tto ttih	肝腦塗地
gox brin gunn sii	股份公司
gox lit biio siiok	股慄膚粟
gox dunn miann crek	股東名冊
jie teix qiionn ttuwt	肢體衝突
kwnnx tap gii jiiu	肯塔基州
piioih get hhrek ppriannh	肺結核病
piioih biiox jii nniion	肺腑之言
twi six biiuk diiunn	胎死腹中
hho ten hho deih	胡天胡帝
hho jiih mriann xxiix	胡志明市
hho ttau grep ziix	胡桃夾子
hho vuwn sin jiannh	胡溫新政
hho la ppwk soh	胡蘿蔔素
gak pak diiux ziix	胳膊肘子
ziak tty zriik vruan	脊椎側彎
ziak tty ttunnx miit	脊椎動物
kronn ttiiann ttunnx miit	腔腸動物
naux ttwih kwi hrua	腦袋開花
naux ttenh tto branx	腦電圖版
vieu tty grenh ppan	腰椎間盤
vieu grim viiih ziex	腰金衣紫
giiak twp qqit ttih	腳踏實地
biiuk ppox graux tunnh	腹部絞痛
damx sieux gniiw xiiwx	膽小如鼠
damx xxiak graux tunnh	膽石絞痛
damx griann sim jienh	膽驚心顫
xxin vit jiiox gnih	臣一主二
nnuah sin xxiiann damx	臥薪嘗膽
ccih jiiox hheih tonnh	自主系統
ccih luanh ttinh giiak	自亂陣腳
ccih iix rye xxiex	自以為是
ccih lwi xyx guanx	自來水管
ccih ttunnx mrienx yak	自動免疫
ccih ttunnx grueh dannh	自動掛擋
ccih ttunnx lwu tei	自動樓梯
ccih ttunnx ppoh ttaux	自動步道
ccih ttunnx ccih biiot	自動自發
ccih ttunnx yen brit	自動鉛筆
ccih bie sim liix	自卑心理
ccih bie cciann ssiiwx	自卑情緒
ccih gox iix lwi	自古以來
ccih bauh gunn nnrieh	自報公議
ccih bauh gra mwn	自報家門
ccih xiix jih jiiunn	自始至終
ccih hhrok xxiann ccwi	自學成才
ccih ssim six loh	自尋死路
ccih ssim ppiion naux	自尋煩惱
ccih giix ttunnx xiiux	自己動手
ccih kkiiann ccih lip	自強自立
ccih kkiiann ruunh ttunnx	自強運動
ccih ccam hhenn vuuoih	自慚形穢
ccih xxiann vit gra	自成一家
ccih nnax greih xxieux	自我介紹
ccih nnax cuwi men	自我催眠
ccih nnax van vuuih	自我安慰
ccih nnax qqit hhenh	自我實現
ccih nnax dek gnin	自我的人
ccih ttwu la miiannx	自投羅網
ccih prak mo xiik	自拍模式
ccih prak qqin krih	自拍神器
ccih kii kii gnin	自欺欺人
ccih gnien jiiox nnrieh	自然主義
ccih gnien jii riiux	自然之友
ccih gnien brenn ttuk	自然拼讀
ccih gnien tteu kkrienx	自然條件
ccih gnien zwi hhaih	自然災害
ccih gnien hhenh ssiiannx	自然現象
ccih gnien lieuh biiop	自然療法
ccih gnien biiot vrim	自然發音
ccih gnien gnii gnien	自然而然
ccih gnien zi nnuuon	自然資源
ccih gnien biiunn guann	自然風光
ccih iiu diiunn guwk	自由中國
ccih iiu jiiox nnrieh	自由主義
ccih iiu gox bra	自由古巴
ccih iiu xxiix ttiiann	自由市場
