crim crie	參差/㠁嵯
criik liiann	測量
xiiann xiiann	湯湯
guwt gei	滑稽
hanh ttieu	漢朝
hanh ccannh	漢藏
ttam ttwi	澹臺
zeix nwm	濟南
zeix nenn	濟寧
zeix xyx	濟水
huax kryen	火圈
huax qia	火車
miio iak	無射
jieuh siiannh	照相
ven griann	燕京
ven guwk	燕國
venh ziix	燕子
ven sren	燕山
ven ruuann	燕王
ven grau	燕郊
rye jiiox	為主/爲主
ryeh leux	爲了
ryeh hha	爲何
ryeh ciex	爲此
rye nan	爲難
rye xiiux	爲首
nniiu bannx	牛蒡
miit jiionnx	物種
kauh lauh	犒勞
kkryen ziann	狋氏
liix luwnh	理論
piion hhauh	番号
pan nniio	番禺
dann zak	當作
dann ttiih	當值
dannh poh	當鋪/當舖
dannh hhann	當行
pprak jiionnx	白種
hhuann xxiiannh	皇上
gramh lih	監利
ttiik hhrah	直下
siiann hhoh	相互
siiann ppanx	相伴
siiann ssiix	相似
siiannh ryh	相位
siiann ttyen	相傳
siiannh gunn	相公
siiannh crek	相冊
siiann ttunn	相同
siiannh guwk	相國
siiannh xxiann	相城
siiann zax	相左
siiannh biiox	相府
siiann ppwih	相悖
siiann viinnh	相應
siiann puk	相撲
siiannh kuuann	相框
siiannh giii	相機
siiann bix	相比
siiannh ppiiox	相父
siiannh ia	相爺
siiannh penh	相片
siiann ppiio	相符
siiannh ppox	相簿
siiannh jiex	相紙
siiann qiiwx	相處
siiann cin	相親
siiannh brienh	相變
siiannh mrauh	相貌
siiann tunn	相通
siiann ppiionn	相逢
siiann lin	相鄰
siiann grenh	相間
siiannh mienh	相面
siiann lyh	相類
siiannh xiiwx	相鼠
sriannx liiak	省略
kan xiiux	看守
kan gra	看家
jin siiannh	眞相
diiak zriiann	着裝
xxyeh grauh	睡覺
pieuh grah	票價
pieuh ccien	票錢
ciiu cciannh	秋請
ccin ttieu	秦朝
jiionnx siannh	種姓
jiionnx ziix	種子
jiionnx ccuk	種族
jiionnh xxiik	種植
jiionnh xxiioh	種樹
jiionnh tten	種田
jiionnx diiw	種豬
jiionnx mrax	種馬
gei kaux	稽攷
keix xiiux	稽首
ziak biin	積分
kunnh dann	空當
kunnh kyet	空缺
kunnh hhren	空閑
kunn gren	空閒
lip hhrah	立夏
dwnnx crie	等差
dwp viinnh	答應
zet sriannx	節省
grenx ieh	簡易
ttuwn xiiok	純束
soh jit	素質
grip iiwx	給予
genn gua	經過
ben hhauh	編号
zunnx vieuh	總要
iiann kkuuonx	羊圈
kkieu criiwx	翹楚
kkieuh qqiet	翹舌
kkieuh kiix	翹起
kkieu xiiux	翹首
xiannh xxiiannh	聖上
xiann tteuh	聲調
ppwih kih	背棄
pronnh ziix	胖子
ccih xiiuh	自首
jih xieux	至少
iiwh hhuaih	與會
bran sri	班師/般師
ban ruunh	般運
xxiiak iiak	芍藥
hrua piiih	花費
piiann piii	芳菲
ttra grix	茶几
hha hrua	荷花
ppwt cci	荸薺
hhruanx gniex	莞爾
mannx cannx	莽蒼
ga ttrak	菏澤
ppret kret	菝葜/菝𦸉
hhrua kkrieu	華僑
hhrua hhrax	華夏
piiix ppak	菲薄
lak tak	落魄
diiwh miann	著名
jiinn gan	蒸乾
ppeih leih	薜荔
ccannh gnin	藏人
ccannh kiio	藏區
ccann primx	藏品
ccannh i	藏彝
ccannh ccuk	藏族
ccann xiiw	藏書
ccannh mienx	藏緬
ccann xin	藏身
qiiwx ccwix	處在
qiiwx niiwx	處女
qiiwx ziix	處子
qiiwx biiann	處方
qiiwx viiw	處於
qiiwx xiiwx	處暑
qiiwx liix	處理
qiiwx diih	處置
xxiem xxiiw	蟾蜍
jiem jiiw	蟾蠩/蟾諸
hhrann kiit	行乞
hhrann leux	行了
hhrann ccriih	行事
hhrann gnin	行人
hhann nnox	行伍
hhrann hiionn	行兇
hhrann hhenn	行刑
hhann liet	行列
hhrann cieh	行刺
hhrann ttunnx	行動
hhann hhauh	行号
hhrann xiiann	行商
hhrann xxienx	行善
hhrann ccwih	行在
hhrann haux	行好
hhann gra	行家
hhann kuan	行寬
hhrann ziiann	行將
hhrann xi	行屍
hhrann gennh	行徑
hhann cciann	行情
hhrann ppiiann	行房
hhrann jiannh	行政
hhann sriioh	行數
hhrann senn	行星
hhrann xiiw	行書
hhann hhuaih	行會
hhrann liix	行李
hhrann branx	行板
hhann nniiop	行業
hhrann kreix	行楷
hhrann lak	行樂
hhrann kkryen	行權
hhrann rye	行爲
hhann dannh	行當
hhrann sriannx	行省
hhrann leix	行禮
hhrann cet	行竊
hhrann xxiiwh	行署
hhrann jiax	行者
hhrann caux	行草
hhrann zriiann	行裝
hhann hhruaih	行話
hhann huah	行貨
hhrann huwix	行賄
hhrann xiiannx	行賞
hhrann zwux	行走
hhann kkiiwx	行距
hhrann loh	行路
hhrann ziionn	行蹤
hhrann qia	行車
hhrann zinh	行進
hhrann ttaux	行道
hhrann vii	行醫
hhrann sieu	行銷
hhann diiannx	行長
hhrann ruun	行雲
hhrann ttwu	行頭
hhrann pienh	行騙
hhann gau	行高
ryeih ccannh	衞藏
biiuk ccwp	複雜
sei hhrax	西夏
sei ven	西燕
sei ccannh	西藏
vieuh biit	要不
vieuh ccriih	要事
vieu hhep	要挾
vieu ppiiuk	要服
vieu kkiiu	要求
vieu viiak	要約
vieu ciannx	要請
piiuk miet	覆滅
piiuh gaih	覆蓋
guan guann	觀光
guan gwmx	觀感
guan griannx	觀景
guan miiannh	觀望
guan kanh	觀看
guan jiiunnh	觀衆
luk ttiik	角直
luk liix	角里
geih hhruek	計劃/計畫
geih hhrueh	計畫
ppriann luwnh	評論
xiih cceih	試劑
nniiwx jiionnx	語種
xyeih krak	說客
xyeih ppiiuk	說服
xyet guah	說過
tteuh ttiik	調值
tteuh siannh	調性
tteu cciann	調情
tteu jiannx	調整
tteu liix	調理/條理
tteu kkrim	調琴
tteu zet	調節
tteu grex	調解
tteu vrim	調音
diiu gri	調飢
luwn nniiwx	論語
qqih hhauh	諡号
jiiw giiih	諸曁
brienh diix	變徵
brienh iak	變易
luk lie	谷蠡
diiw kkuuonx	豬圈
ppiiux hhax	負荷
ccwi guaih	財會
guan qyen	貫穿
ppiiih siannh	費姓
brih hhuenh	費縣
mwuh iak	貿易
jit ziix	質子
dih ziix	質子
dih vrap	質押
jit prok	質樸
jit liiannh	質量
pprau kryen	跑圈
pprau tteuh	跑調
xin ppiinh	身分
qia jiiox	車主
qia pieuh	車票
qia ttaux	車道
qia ttuwih	車隊
grok ieh	較易
xiio iann	輸贏
xiioh sunnh	輸送
dyenx leux	轉了
dyenx grau	轉交
dyenx gauh	轉告
dyenh kryen	轉圈
dyenx hhenn	轉型
dyenx siax	轉寫
dyenx diiannh	轉賬/轉帳
dyenx vruan	轉彎
dyenx xxiann	轉成
dyenx hhuanh	轉換
dyenx hhuaih	轉會
dyenx biiot	轉發
dyenh ppan	轉盤
dyenx ccwih	轉載
dyenx sunnh	轉送
dyenh suk	轉速
dyenx ruunh	轉運
jiak sia	這些
tunn liiannh	通量
cauh cih	造次
cauh piiannh	造訪
lien ccuax	連坐
zinh ttoh	進度
zinh ccannh	進藏
zinh hhrann	進行
iiu xyeih	遊說
ruunh ccwih	運載
ruunh xiioh	運輸
