AcC I2D	半拉
AcC ILC	半路
AcC LBD	半軸
AcC LKC	絆住
AcC LpA	半場
AcC PaI	半蹲
AcC QGB	半死
AcC XwD	半職
AcC dDB	半拱
AcC dlC	半個
AcC dnC	半價
AcC dpD	絆腳
AcC dvC	半徑
AcC ejA	絆跤
AcC fHA	半旗
AcC fiE	半橋
AcC fyA	半球
AcC gZL	半月
AcC h1E	半音
AcC hiA	半腰
AcC ipB	半響
AcC loC	半夜
AcD AKC	撥付
AcD GAB	撥動
AcD IAC	撥弄
AcD N4D	撥接
AcD NHB	撥子
AcD NzC	撥奏
AcD XuC	撥正
AcD auD	襏襫
AcD eTA	撥開
AcD ecJ	撥款
AcD lDC	撥用
AdA AED	斑駁/班駁
AdA ASC	班輩
AdA AdA	斑斑
AdA CrD	斑白/班白
AdA DXA	斑紋
AdA DnB	斑馬
AdA E5B	斑點
AdA EAA	斑鶇
AdA EMB	班底
AdA GTA	班檯
AdA GTC	班代
AdA GkC	班導
AdA ILC	斑鷺
AdA IMB	斑鱧
AdA IVI	班輪
AdA IeA	斑斕
AdA IvA	斑羚
AdA JBD	斑竹/班竹
AdA KiA	班超
AdA NHB	班子
AdA NLB	班組
AdA OGC	班次
AdA OkB	班草
AdA QfC	班線
AdA VGA	般師/班師
AdA XKB	班主
AdA Z1D	班什
AdA ZpC	班上
AdA d1H	班級
AdA dHA	班基
AdA dIA	班機
AdA dLC	班固
AdA dVD	班吉
AdA dlI	班戈
AdA dyA	斑鳩
AdA eSK	斑塊
AdA fHA	班期
AdA inI	班花
AdB AKB	板斧
AdB AaB	版本
AdB AdB	板板
AdB AkC	板報
AdB AvD	板壁
AdB CFE	板皮
AdB DfC	版面
AdB DgC	板麵
AdB ExC	板凳
AdB GLA	版圖
AdB GhA	板條
AdB IVD	板栗
AdB IzA	板樓
AdB JBD	板築/版築
AdB JEA	板樁
AdB LNC	板滯
AdB NHB	板子
AdB OGC	版次
AdB SeD	板扎
AdB UpC	板狀
AdB XFB	板紙
AdB XKB	板主/版主
AdB aJA	板書
AdB aNK	版稅
AdB awD	版式
AdB dFI	板規
AdB dgD	板結
AdB eSK	板塊/版塊
AdB exD	版刻
AdB ffM	版權
AdB fiE	板橋
AdB fyA	板球
AdB geB	板眼
AdB gnA	板牙
AdB h7D	板鴨
AdB hgA	板煙
AdB jLA	板胡
AdB lyA	板油
AeC SpA	扮裝
AeC eCD	扮酷
AeC lfB	扮演
AeD A9D	八法
AeD CLC	八步
AeD ClA	八婆
AeD DGF	八美
AeD ExD	八德
AeD IHB	八里
AeD IkB	八老
AeD LBA	八沖
AeD PHC	八字
AeD QfA	八仙
AeD Z1D	八十
AeD ZuA	八成
AeD dED	八角
AeD dLB	八股
AeD dPK	八卦
AeD dQC	八戒
AeD dlA	八哥
AeD dqA	八綱
AeD eTA	八開
AeD eqL	八廓
AeD fHA	八旗
AeD fpA	八強
AeD gZL	八月
AeD h1E	八音
AfA BjC	鞭炮
AfA DkA	鞭毛
AfA FcD	鞭撻
AfA KHA	鞭笞
AfA NHB	鞭子
AfA NgD	鞭節
AfA TtD	鞭策
AfA jbA	鞭痕
AfB j6D	褊狹
AfG A9D	變法
AfG AsA	變兵
AfG CVA	變頻
AfG DPC	變賣
AfG DXA	變文
AfG ExD	變得
AfG FAA	變通
AfG FMB	變體
AfG FTC	變態
AfG FgA	變天
AfG GAB	變動
AfG GgC	變電
AfG GkB	變道
AfG HcJ	變暖
AfG IcK	變亂
AfG JHB	變徵
AfG NgD	變節
AfG NiA	變焦
AfG NzC	變奏
AfG OfA	變遷
AfG Q1A	變心
AfG QAD	變速
AfG QuC	變性
AfG QvA	變星
AfG QyA	變修
AfG VwD	變色
AfG YyB	變醜
AfG ZuA	變成
AfG auA	變聲
AfG cfJ	變軟
AfG dAA	變工
AfG dLC	變故
AfG dPK	變卦
AfG dnC	變價
AfG dtD	變革
AfG fDD	變局
AfG gZI	變元
AfG gtC	變硬
AfG h2C	變暗
AfG inK	變化
AfG ixD	變黑
AfG jAA	變紅
AfG jcK	變換
AfG jeK	變幻
AfG jvA	變形
AfG kFI	變為
AfG lHC	變異
AfG luD	變易
AgA ABD	蝙蝠
AgA AGF	邊鄙
AgA BDA	邊鋒
AgA CNC	邊幣
AgA DBD	邊牧
AgA DVA	邊民
AgA DaA	邊門
AgA GGC	邊地
AgA GvA	邊庭
AgA GzA	邊頭
AgA ILC	邊路
AgA NNC	邊際
AgA PTA	邊材
AgA QTC	邊塞
AgA QfC	邊線
AgA QpA	邊廂
AgA ZFI	邊陲
AgA ZuA	邊城
AgA auA	邊聲
AgA cFA	邊兒
AgA d4F	邊檢
AgA dQC	邊界
AgA ddI	邊關
AgA dpA	邊疆
AgA dsB	邊境
AgA epI	邊框
AgA gJA	蝙魚
AgA h1E	邊音
AgA iVG	邊釁
AgA jdK	邊患
AgA jkC	編号
AgA lNC	邊裔
AgA lfI	邊沿/邊緣
AgB grD	匾額
AgC ALC	遍布
AgC FMB	遍體
AgC GGC	遍地
AgC IvD	遍歷
AgC aVA	遍身
AgC f1H	遍及
AiA XHC	標識
AiF AkC	表報
AiF CFE	表皮
AiF CcA	表盤
AiF CrD	表白
AiF DSC	表妹
AiF DfC	表面
AiF DsA	表明
AiF EOC	表帶
AiF FTC	表態
AiF ILC	表露
AiF NoB	表姐
AiF PHC	表字
AiF PuA	表情
AiF PxA	表層
AiF QkB	表嫂
AiF RpB	表象
AiF TtD	表冊
AiF XpA	表彰/表章
AiF XwC	表證
AiF YuD	表尺
AiF aBD	表叔
AiF bVL	表述
AiF dAA	表功
AiF dHC	表記
AiF dLA	表姑
AiF dlA	表哥
AiF h1E	表音
AiF hHC	表意
AiF haI	表溫
AiF isI	表兄
AiF jgC	表現
AiF kGK	表位
AiF lfB	表演
AiF lpA	表揚
AiG jLA	裱糊
AjA AGC	包庇
AjA AjA	包包
AjA BgC	苞片
AjA CFE	包皮
AjA CeC	包辦
AjA DMB	包米/苞米
AjA F2A	包探
AjA FSK	包退
AjA GTC	包袋
AjA GzA	包頭
AjA HqA	包囊
AjA I3B	包攬
AjA IlA	包羅
AjA LKC	包住
AjA LpA	包場
AjA NHB	包子
AjA NLA	包租
AjA OTC	包菜
AjA PxA	包層
AjA QDD	包粟/苞粟
AjA QiA	包銷
AjA QpA	包廂
AjA SeD	包扎/包紮
AjA SpA	包裝
AjA XwB	包拯
AjA bfI	包船
AjA cFB	包爾
AjA d1E	包金
AjA dAA	包公/包工
AjA dAD	包穀/苞穀
AjA dIA	包機
AjA dJB	包舉
AjA dVE	包巾
AjA dcJ	包管
AjA dcL	包括
AjA deC	包間
AjA dnC	包價
AjA gVE	包銀
AjA gZL	包月
AjA j2A	包含/包涵
AjA jcK	包換
AjA jlA	包河
AjA kyA	包郵
AjA lDA	包容
AjA loC	包夜
AjB DcB	飽滿
AjB GAD	飽讀
AjB I3B	飽覽
AjB LeC	飽綻
AjB OcA	飽餐
AjB ZpA	飽嘗
AjB ZyB	飽受
AjB j2A	飽含
AjB jED	飽學
AjC NHB	豹子
AjC ffM	豹拳
AkA A4F	褒貶
AkA JBA	褒忠
AkA RHB	褒姒
AkA gFG	褒義
AkA lpA	褒揚
AkB AOC	寶貝
AkB AaB	保本
AkB AeD	保八
AkB AiE	保鑣
AkB AkB	寶寶
AkB BBA	寶豐
AkB BiA	保鏢
AkB ClB	寶爸
AkB CvA	寶瓶
AkB DLB	寶媽
AkB DSA	保媒
AkB DVH	保密
AkB DXD	寶物
AkB DiE	保苗
AkB DnB	寶馬
AkB DsC	保命
AkB DzC	保姆/褓姆
AkB EMB	保底
AkB EgB	寶典
AkB ExD	保德
AkB F3D	寶塔
AkB F5D	寶貼
AkB GvA	保亭
AkB HcJ	保暖
AkB I1A	寶林
AkB I3A	寶藍
AkB IGJ	堡壘
AkB IlA	保羅
AkB LHA	保持
AkB LKC	保住
AkB OuA	寶清
AkB PaI	保存
AkB PfI	保全
AkB PlK	寶座
AkB PqA	保藏
AkB PqC	寶藏
AkB PuB	保靖
AkB QAC	保送
AkB QyA	保修
AkB VeA	保山/寶山
AkB XHC	寶誌
AkB XVJ	保准
AkB XwC	保證
AkB ZuD	寶石
AkB aJA	寶書
AkB aNK	保稅
AkB auD	保釋
AkB bfI	寶船
AkB cFB	保爾
AkB cVA	保人
AkB d7D	保甲
AkB dED	保角
AkB dIK	寶貴
AkB dLC	保固
AkB dMA	寶雞
AkB dcJ	保管
AkB dgD	保潔/寶潔
AkB dnC	保駕
AkB dqA	寶鋼
AkB eLC	寶庫
AkB eqA	保康
AkB fZC	保健
AkB gDD	寶玉
AkB ggC	保研
AkB haI	保溫
AkB hcA	保安/寶安
AkB i4F	保險
AkB ilK	寶貨
AkB jLC	保護
AkB kyB	保有
AkB kyC	保佑/保祐
AkB lBD	保育
AkC AUC	報廢
AkC AiF	報表
AkC BMA	報批
AkC CcA	報盤
AkC DqD	報幕
AkC DuQ	報名
AkC E2D	報答
AkC EcI	報端
AkC EkC	報到
AkC ExD	報德
AkC F5D	報帖
AkC GAA	報童
AkC GhA	報條
AkC GkB	報道
AkC GkC	報導
AkC GvA	報亭
AkC GzA	報頭
AkC JpC	報帳
AkC NHB	報子
AkC P4D	報捷
AkC QVC	報信
AkC QiA	報銷
AkC XFB	報紙
AkC XpA	報章
AkC ZHA	報時
AkC ZoB	報社
AkC ZyA	報酬
AkC a1B	報審
AkC aNK	報稅
AkC aVD	報失
AkC cVA	報人
AkC d4F	報檢
AkC dAA	報功
AkC dQC	報界
AkC dcI	報官
AkC dcK	報館
AkC ddI	報關
AkC dnC	報價
AkC dsB	報警
AkC dxL	報國
AkC e5A	報謙
AkC ecA	報刊
AkC ekB	報考
AkC fyA	報仇
AkC hbA	報恩
AkC hcC	報案
AkC hwC	報應
AkC hyA	報憂
AkC iHB	報喜
AkC ihB	報曉
AkC jMC	報系
AkC jjC	報效
AkC lHB	報以
AlA ALB	波譜
AlA AnC	波霸
AlA CqA	波旁
AlA DVH	波密
AlA DXA	波紋
AlA DfC	波面
AlA ExD	波德
AlA GAB	波動
